token_ticker,sentiment_score,mCap
DELON,-1.0,4881
DELUSIONAL,-1.0,4293
DENGU,-0.37755102040816324,5590
DEREK,-0.13636363636363635,5064
DERP,-1.0,45689
DEV,1.0,4527
DEX,0.0,5381
DGN,0.01897810218978102,5786
DIAMOND,0.07142857142857142,7531
DIAMOND,0.07142857142857142,4719
DIC,-0.42,4434
DICCY,-0.3548387096774194,4224
DICKY,-1.0,5281
DICKY,-1.0,7627
DIDDY,-0.5714285714285714,36596
DIEGO,-0.5,5535
DIP,-0.45985401459854014,4366
DIP,-0.45985401459854014,4654
DIRT,-0.35714285714285715,5772
DISCORD,1.0,5378
DISCORDMOD,-0.2786885245901639,6508
DITE,-0.5384615384615384,12749
DJ,-0.25,95682
DJT,-0.5454545454545454,4763
DJT,-0.5454545454545454,4538
DJT,-0.5454545454545454,6125
DJT,-0.5454545454545454,4110
DLORD,-1.0,5147
DMD,-0.4766355140186916,6180
DMON,-1.0,5225
DMON,-1.0,45783
DMT6900,-0.3333333333333333,5168
DO,-0.8333333333333334,6703
DOAEM,0.2,11726
DODGERAM,-0.4105263157894737,5083
DOEM,-1.0,4646
DOG,-0.6666666666666666,8566
DOG,-0.6666666666666666,21523
DOG,-0.6666666666666666,4710
DOG,-0.6666666666666666,4271
DOG,-0.6666666666666666,4166
DOGE,-0.6363636363636364,8169
DOGE,-0.6363636363636364,8805
DOGE,-0.6363636363636364,10368
DOGE,-0.6363636363636364,5256
DOGE2,-0.6173913043478261,9118
DOGGY,0.0,8635
DOGNUT,-0.3333333333333333,4824
DOGPFP,-0.11627906976744186,4314
DOGPOOL,-0.15789473684210525,6043
DOGS,-0.24324324324324326,5826
DOGSOL,-0.2,5523
DOGTOR,-0.49473684210526314,4483
DOGZ,-1.0,10008
DOLLY,-0.35135135135135137,4195
DONA,0.0,4031
DONKEY,1.0,4039
DONUT,-0.38461538461538464,5179
DOOGLE,-0.43847487001733104,4842
DORA,-0.8518518518518519,14697274
DORAE,-1.0,4921
DORAE,-1.0,4200
DORK,1.0,5112
DOS,-0.3707052441229656,4293
DOT,-0.2857142857142857,25196
DOUG,-1.0,4252
DOWN,-0.3333333333333333,4667
DOWN,-0.3333333333333333,17847
DPOPCAT,0.14285714285714285,4095
DPR,0.3333333333333333,165242
DRAGON,-0.8064516129032258,8925
DRAWN,-0.4295774647887324,11557
DRCK,-0.360381861575179,4920
DRGN,-0.04,67830
DRIPPY,-0.5813953488372093,4464
DROPOUT,-1.0,4051
DRZZ,-0.5555555555555556,249907
DTATE,-0.45,4774
DTC,-0.5555555555555556,6835
DUDE,-0.4883720930232558,6349
DUDE,-0.4883720930232558,5866
DUKE,0.0,4156
DUKO,-1.0,4678
DUMPTRUMP,0.6,4844
DWADE,-0.5454545454545454,5929
DWIZ,-0.7142857142857143,4231
DXM,-0.25925925925925924,4186
Daddy,-0.8,6321
DaddyChill,-0.17647058823529413,752747
Daikiti,-0.2,4388
Dan,-0.45454545454545453,5322
Daphne,-1.0,5608
Dave,-1.0,4538
David,-0.5555555555555556,4744
DeGods,-0.7333333333333333,4277
Debate,-0.102803738317757,17099
Debbie,-0.4358974358974359,4443
DejaVu,-0.6842105263157895,4321
Dekopon,-0.5454545454545454,71377
Diana,-1.0,4802
DinnerCat,-1.0,5863
DirtyD,-0.1232876712328767,5160
Djmaga,-0.2911392405063291,4469
Doddy,-1.0,4112
Dog,-0.2,4447
DogGPT,-0.5172413793103449,5920
Doge,-0.2727272727272727,4769
Dogs,-0.5294117647058824,5845
Dogue,-0.45454545454545453,4128
DolLuR,-0.5555555555555556,6979
Dolphin,0.5,4551
Donald,-0.3333333333333333,4246
Donald,-0.3333333333333333,5997
Done,-0.48360655737704916,6860
DonnyT,1.0,4353
Doug,-0.5789473684210527,5586
Dreez,0.3333333333333333,4729
Drop,-0.34814814814814815,12093
Duc,-0.8,4209
Duckaprio,-0.2404692082111437,4659
Dumilio,-0.21904761904761905,4914
Dylan,-0.5555555555555556,4903
EAGLE,0.2727272727272727,4048
EAR,-0.7714285714285715,4548
EAR,-0.7714285714285715,4859
EAT,-0.14285714285714285,5945
EATEN,-0.42857142857142855,11193
ECHOX,-0.5555555555555556,4799
ECUL,-0.20440251572327045,4913
EDEN,-0.5384615384615384,4123
EDGAR,-1.0,4124
EDISON,0.3333333333333333,4894
EEW,-1.0,4154
EGG,-0.2669039145907473,9775
EGGCAT,-1.0,4356
EGGY,-0.6551724137931034,4246
EGYPT,-1.0,4577
EIC,-0.6666666666666666,4249
EIC,-0.6666666666666666,5341
ELE,-1.0,4500
ELIGIUS,-0.3333333333333333,4303
ELIZABETH,-0.7777777777777778,4460
ELLIOT,-0.8571428571428571,5168
ELLIOT,-0.8571428571428571,4425
ELMO,-0.6363636363636364,8003
ELON,-0.39805825242718446,4560
ELON,-0.39805825242718446,8261
ELON,-0.39805825242718446,9698
ELON,-0.39805825242718446,6639
ELONATE,1.0,4462
ELSA,0.3333333333333333,5483
ELZA,0.0,4318
EMA6900,-0.2222222222222222,6235
EMI,-0.4117647058823529,4532
ENDER,-0.2,6100
ENISA,-1.0,4643
EOT,-0.5,6160
ESTI,-0.6091954022988506,5246
ESTI,-0.6091954022988506,7059
ETH,0.3333333333333333,4708
ETHAI,-0.4,10347
ETS,-0.6666666666666666,14974
EUGENE,0.0,4702
EURO2024,-0.3684210526315789,4255
EVE,-1.0,4428
EVEAI,-1.0,99811
EVIL,-1.0,4399
EWE,0.2,4888
EXAFLOP,-0.35294117647058826,4502
EXE,-0.4954954954954955,7508
EXNODE,0.0,6664
EXONUMIA,-0.3253012048192771,12606
EXOPET,-0.25,4604
Echo,-0.1111111111111111,5677
Ekmek,-0.660377358490566,12033
ElonMusk,0.12,9119
Emily,-0.17647058823529413,14990
Endy,-0.6712328767123288,8832
Energy,-1.0,5098
Equinox,-0.2727272727272727,4200
Equinox,-0.2727272727272727,4136
Estee,-0.3411764705882353,14077
Ethereum,-0.6,4983
Ethereum,-0.6,4664
F7931A,-0.3333333333333333,4611
FACE,-0.2,5722
FAGGOT,0.5,4931
FAKETAXI,-0.8181818181818182,4207
FAM,-0.3283582089552239,4245
FAMILIA,-0.10294117647058823,8699
FATCAT,-0.29896907216494845,5370
FATCAT,-0.29896907216494845,4451
FATHER,-0.14285714285714285,4464
FATHERSDAY,1.0,4648
FBI,-0.23076923076923078,11638
FBI,-0.23076923076923078,4733
FCAT,-0.3880597014925373,4354
FCPD,-0.37074148296593185,7505
FD,-0.39285714285714285,4615
FE,-0.3333333333333333,30339
FEET,0.3333333333333333,35943
FEFE,-1.0,10063
